DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2950.0,-41.87,8.69,8.91,8.91,24.47,5.43,8.11,1007.07,0.05,7.83,2.33,20.28,2.4,446.41,2.24,21.97,2.56
2950.5,-41.84,8.68,8.91,8.91,22.98,5.62,8.24,1004.11,0.05,7.96,2.36,19.38,2.35,462.83,2.16,20.34,2.6
2951.0,-41.82,8.68,8.91,8.91,21.24,5.92,8.86,1000.93,0.06,7.53,2.39,17.72,2.31,486.86,2.05,18.97,2.55
2951.5,-41.6,8.68,8.91,8.9,22.3,5.94,8.71,993.0,0.05,6.68,2.4,16.59,2.28,517.71,1.93,18.29,2.38
2952.0,-41.27,8.68,8.91,8.93,24.94,5.67,8.37,985.89,0.05,6.03,2.39,17.41,2.29,555.2,1.8,18.92,2.15
2952.5,-41.08,8.68,8.91,8.9,26.53,5.41,7.72,985.61,0.04,5.75,2.36,19.8,2.38,596.1,1.68,20.56,1.93
2953.0,-41.24,8.69,8.91,8.9,30.28,5.57,7.9,998.42,0.04,5.58,2.34,21.95,2.49,634.42,1.58,21.76,1.76
2953.5,-41.8,8.68,8.91,8.9,33.91,5.69,8.01,1025.8,0.04,5.29,2.33,23.9,2.66,658.94,1.52,22.35,1.65
2954.0,-42.56,8.68,8.91,8.9,33.26,5.7,7.88,1053.86,0.04,4.99,2.32,25.97,2.8,660.85,1.51,22.63,1.62
2954.5,-43.17,8.68,8.91,8.91,31.32,5.69,7.64,1064.75,0.03,4.92,2.31,27.34,2.78,639.93,1.56,23.19,1.68
2955.0,-43.54,8.68,8.91,8.88,28.58,5.6,7.45,1054.53,0.04,5.35,2.32,27.25,2.71,603.19,1.66,22.98,1.84
2955.5,-43.8,8.68,8.91,8.93,25.63,5.69,7.5,1037.82,0.03,6.39,2.33,25.8,2.7,564.88,1.77,22.47,2.11
2956.0,-44.01,8.68,8.91,8.88,21.87,5.44,7.4,1025.11,0.03,7.87,2.32,25.0,2.64,533.94,1.87,22.63,2.45
